scorer,Unnamed: 1,Unnamed: 2,SchroederLab,SchroederLab.1,SchroederLab.2,SchroederLab.3,SchroederLab.4,SchroederLab.5,SchroederLab.6,SchroederLab.7,SchroederLab.8,SchroederLab.9,SchroederLab.10,SchroederLab.11,SchroederLab.12,SchroederLab.13,SchroederLab.14,SchroederLab.15,SchroederLab.16,SchroederLab.17
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0619.png,208.60142517089844,178.39419555664062,383.7375419510263,184.57433259493962,393.8828256338746,173.7686767578125,404.4471463729141,184.91128690374555,394.14269594548347,194.8637117795624,366.7289733886719,170.42230224609375,388.28466796875,154.6575927734375,427.68054315074164,192.5286637313508,393.5429382324219,204.53915405273438
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0653.png,216.70449829101562,173.0236358642578,384.04069951718964,185.6306437474799,394.19099801264286,173.75813818787276,405.9693133659412,184.55806440005998,394.96430066116676,194.94207830628238,366.5233154296875,171.157470703125,389.90484619140625,154.899658203125,427.236572265625,191.04721069335938,395.77532958984375,205.59954833984375
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0730.png,211.4763946533203,179.0620574951172,386.0504396110317,185.37074724506175,395.8878113234178,175.11497180911525,405.9284802626841,185.96104098328973,396.1978357320006,195.0580959243147,366.7103271484375,170.9539031982422,390.7494201660156,155.01437377929688,428.02581787109375,190.9220733642578,395.9362487792969,204.63246154785156
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0748.png,212.20455932617188,178.6985626220703,386.5780306112434,185.7722194619783,395.0579807276306,176.9325317193858,404.732451868708,186.09232563801092,396.03683730943595,194.72343664662642,367.1004943847656,169.82200622558594,391.4474792480469,154.56822204589844,428.0262145996094,190.6931610107422,395.6973876953125,205.47413635253906
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0765.png,210.1319122314453,178.31910705566406,387.0301110469495,186.0189312566262,395.7969538917808,175.90185361269303,405.24126116775966,185.66463765600835,396.4049423649926,194.45619506064676,367.7220153808594,168.95542907714844,393.5670314500182,155.4003143310547,426.9288635253906,190.77938842773438,394.64691254912225,205.62399848809275
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0825.png,211.95297241210938,174.6983642578125,387.3589491880003,185.3126368020104,395.77915900149196,176.7102217710081,404.18555512040194,185.89215710847245,395.6471919557991,193.29722556456684,367.184326171875,169.5426025390625,391.6936950683594,154.6427001953125,427.5608825683594,191.14471435546875,395.91705322265625,204.80419921875
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0833.png,213.54940741814838,179.68563477864765,387.85047002484396,185.42484288249273,395.5297181380894,176.2288594115031,404.4191993785878,185.33479035559415,396.1823501105364,193.7155778003572,367.3822897741545,165.91529787357274,393.05876068629357,156.35376686444982,429.80082366517036,189.76540893003667,398.10810852257197,206.73981229454702
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0868.png,213.8919677734375,165.4241180419922,385.17442945747433,183.7972111786395,392.5024972793691,174.50708275040887,400.8354900445643,183.3219392693166,393.0058298438202,191.90158081054688,366.8592529296875,168.52670288085938,390.4903992597618,154.61981201171875,426.895263671875,190.46807861328125,392.9018249511719,203.62057495117188
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0885.png,218.1436004638672,159.07009887695312,384.2007277497823,184.2350532685155,391.91323254712654,175.53258377834686,400.68976772748914,184.29306433194114,392.6530865473879,192.52616525879714,367.0461120605469,169.95370483398438,389.2701110839844,154.519287109375,427.23712158203125,190.7801513671875,395.0440673828125,204.2159423828125
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0895.png,219.80149640830308,161.86092439290806,384.8128734537432,183.5958210903539,392.7666130472008,174.86714110598984,401.87157557470147,183.39845348672063,393.52114683747084,192.1177336095685,369.8108631664208,171.44315037748538,390.3483768510588,154.72134961786213,428.50550610120575,190.97062240550179,397.8675758503524,206.12124725482485
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0898.png,216.3056278067421,164.91374829621404,384.3667148615206,183.46591560618347,392.46997659149116,175.1821309442142,401.636549766994,183.71419069439824,393.7602465482759,191.79553378023584,369.154229968794,169.91216568435442,388.8828178646793,155.58867036268435,428.6102482851605,190.31639015201654,394.69329238196053,205.5857766741743
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0945.png,216.3892364501953,165.330078125,386.2693369973164,186.06000720393962,394.77750305619816,176.60904899330825,404.0848258480866,185.7475382624718,395.76317423184514,194.45679154274015,367.0542907714844,169.67681884765625,391.5539855957031,154.55126953125,427.60443115234375,190.9955291748047,395.2213439941406,204.75003051757812
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0995.png,215.18086886324636,173.10529194979466,387.42965612153944,185.00544124065468,396.31425735963774,176.57238017716057,405.56356865082466,185.22262630589472,396.52035063131575,194.2912620519311,369.4879788128534,167.91260289559258,395.3337799818589,156.47185555390004,429.11245081659877,191.5300214960164,395.3337799818589,206.8839627845345
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img0997.png,215.0562744140625,174.38111877441406,387.7615138165895,185.45814783763385,395.8700078187064,177.57974951132576,405.22867220202136,185.95516838463584,396.29369428586966,194.09536352635433,367.13861083984375,169.6426544189453,392.02392578125,154.7371368408203,427.5393981933594,190.94247436523438,395.2071228027344,204.7698516845703
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img1014.png,214.14114379882812,166.4538116455078,388.1280796045927,186.55287328436953,396.0801842491643,177.90046890238395,405.5189255623283,186.4449486756719,396.3717664327982,194.67644798248222,367.5685119628906,168.78358459472656,394.5228390490695,156.14740188578241,427.0652160644531,190.9295654296875,395.505015487365,205.31451614359491
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img1057.png,216.65408325195312,165.4890899658203,388.41015717605325,186.04766795739891,397.13204359910867,178.29165330169704,406.0188228831467,186.31708225484783,397.89852187733516,194.52495912066883,367.83221435546875,168.17056274414062,391.1528625488281,155.19915771484375,427.3910827636719,190.80166625976562,394.1407165527344,205.09768676757812
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img1100.png,213.25747680664062,169.25570678710938,387.637313744887,185.32148373165526,396.3401081732338,177.6166615741593,405.1854619860912,186.0112572529774,396.34685715946324,195.08066991231652,367.9239501953125,169.1732177734375,395.62939288360667,155.68382007309359,427.2322998046875,190.771484375,395.9828226225714,206.15715684635282
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img1112.png,214.51103891636862,172.33596431213732,388.06305137534866,185.46659118577494,396.3438902904578,178.56344219795722,405.5026145497933,186.5238065822909,396.5509341130395,194.35481978342474,371.81367270559826,171.24168512056008,393.1521169413546,154.2803576511127,429.2633302634039,190.93871056895057,395.8878149202978,205.43790985734915
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img1117.png,210.0993194580078,179.37867736816406,388.001154569848,186.13072228903715,395.59809423892665,177.7628303060326,405.73247330299006,186.7180162447927,396.5328888431709,194.9112508679746,368.1380310058594,168.75216674804688,391.346923828125,155.5244598388672,427.4229431152344,190.6366424560547,393.9580993652344,204.5360870361328
labeled-data,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0,1._Volumes_data_RawData_Bellinda_2022-07-25_1_Video0_img1160.png,212.40541076660156,175.4311981201172,388.3910007702234,185.79079319978578,396.2834865124082,178.10755203934417,405.8637268157451,186.12448842084692,396.83253325618904,194.57385014761587,366.9031982421875,170.01718139648438,391.7467956542969,154.62457275390625,428.0039978027344,190.9270782470703,395.27587890625,205.50108337402344
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0070.png,180.96147590678535,332.45477226150825,380.65418010328995,223.63241135238798,393.99416127826976,211.6630938779026,407.85185607789697,223.98726040128867,394.87524412552966,236.61378625744075,358.80300952457975,235.69005807417756,390.4744282471472,199.19558066289426,423.7535331992866,227.9731641722322,394.1721065751627,255.46459869791258
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0096.png,182.23175048828125,331.8907470703125,385.33743892022454,223.07843696310061,396.88810561565435,211.09698486328125,410.48570880084947,224.06497250211754,398.05767610986067,236.34400800440844,357.3542175292969,236.16357421875,387.6777038574219,197.38534545898438,424.46661376953125,227.6044158935547,395.6785583496094,254.10992431640625
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0155.png,180.70693969726562,331.669921875,382.79765541418175,223.0216893870766,394.46116809665716,211.12398766661943,409.56307147580225,222.66082098889996,395.84568765920244,235.78907997472865,355.8370666503906,234.72601318359375,385.2000427246094,197.7435302734375,423.18994140625,227.4866485595703,403.71876012769894,254.29103974754747
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0156.png,180.81166076660156,331.6388854980469,383.890318894215,224.59697314074893,394.9323927719246,210.59541860427208,410.11642237849935,223.32870515602445,397.53544496813095,236.7859044745722,355.5946044921875,234.1065673828125,389.8045119320467,196.422567506774,423.40069580078125,228.20530700683594,396.7064997986358,256.031685248611
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0182.png,179.43422048803222,331.2488789237668,381.6744481604041,223.42845081678837,393.96140153966206,210.4146302594062,408.7803746558272,224.0442844169036,395.93711189228185,235.79553258098926,357.447379309265,236.80971557187564,392.10244708475454,196.80786591102486,425.1732831905074,229.4826440993436,396.0630262590962,254.83035081513023
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0195.png,181.00663910080954,335.1799254557102,381.9661619867352,224.287096815287,393.8524798049178,211.40033370987118,408.9164130680366,225.35393172320332,395.4447257979978,237.86982137545755,358.1076788275435,235.00813281149624,391.48643279396055,198.22969094109226,425.4833118338298,229.4450071504267,397.66768352848226,254.78813516196558
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0216.png,180.25462341308594,326.5115966796875,380.3187474683076,223.97492480757003,392.7071237510501,211.22497853376123,406.54781813816186,223.70743980567786,393.5660354899452,237.16927057123823,357.89239501953125,236.01785278320312,386.1124572753906,197.79898071289062,424.557373046875,230.2268829345703,394.08087158203125,254.4352264404297
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0264.png,181.17637634277344,331.5592041015625,385.6339022914259,223.0747630440653,397.0221222478414,211.33782958984378,410.7831333408588,223.68407528500322,398.7297175736536,237.1658605401934,356.0586242675781,234.84829711914062,392.99419652421426,195.3294333276322,423.31201171875,227.3004913330078,397.1369116210426,254.68780217948205
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0300.png,180.74838256835938,333.5628356933594,385.55514488623385,223.56351832524052,396.8902284777723,210.43381495086942,410.3870247261788,223.15547360439206,398.6089913811212,236.39136346519138,357.7334899902344,235.5358428955078,387.9716491699219,197.16717529296875,425.48443603515625,227.6946563720703,395.3860778808594,254.6387176513672
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0332.png,182.5790577135869,332.8212975365442,386.75858297867507,223.83119523333414,397.260985316749,210.91581681727948,410.2072715773861,224.21351491681187,398.5888116698222,236.7225370429977,357.98142678129085,235.99452306759846,391.44259742416824,198.54987972914049,426.4971571452778,223.64575771129847,397.4178064675392,254.91601837160647
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0333.png,182.5790577135869,333.6075068429329,385.30032640772123,224.12129679339822,397.47133205483937,210.712890235927,411.1950216167843,225.08772904005613,399.13520800341036,236.2115232851297,356.5557155759932,234.96399410254747,389.3335146098873,198.19585431670106,426.38667873515885,223.848044864966,397.3141961137919,254.34564918345876
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0356.png,182.5790577135869,332.0350882301555,385.2426537712396,223.22969085630146,397.10660171766074,210.9208221705248,410.16637790007564,223.41054967408934,398.6960557927723,236.61195597034856,356.3337171005388,236.6968047251251,389.0943459935037,197.38405005356725,425.6770482573145,226.8686160572356,395.1004612905473,254.71515061625576
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0404.png,181.00663910080954,333.6075068429329,386.3030373245808,224.49608026858638,397.8692360589332,211.1724045504721,410.32432801673133,224.4012922231148,398.7643335173111,236.31442109686088,355.36006708900607,236.48229243111598,390.15364066799145,197.25424378814233,423.7533171143645,226.93111537021804,395.61145613136165,254.90241961999055
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0422.png,181.79284840719822,335.1799254557102,386.96917704652424,224.5644289315759,397.94432794666636,212.01649100110345,410.1591688552348,224.6239510261906,398.96996087999185,236.22982267889262,357.73300574829864,235.57964667570587,391.1254958274591,198.42231702879695,426.1548726752058,227.23152415591576,397.67304290180425,255.0585992218828
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0480.png,177.52996826171875,331.1943359375,381.6972793433788,223.86196779604376,393.2155146356004,210.92119360779463,406.8079372218877,224.26643916327797,394.03512074056516,236.23704534472972,355.9600830078125,234.56478881835938,390.1003524344333,197.02447561112632,422.87451171875,229.32643127441406,394.9094810978339,255.136534104121
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0564.png,183.04872131347656,322.5517272949219,382.7384763906541,223.84307886804464,394.35366898558925,211.83688905298777,406.8851069622154,225.21594163533928,394.9595220396118,236.2370325101435,357.924560546875,235.32398986816406,386.3035583496094,197.8094024658203,424.6740417480469,230.31387329101562,393.8831481933594,254.69786071777344
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0600.png,179.69900512695312,329.62554931640625,380.99539483805177,223.01388599743007,393.6189944694934,211.05179814437656,406.98067301807356,223.90687323067368,394.4666615758373,236.44549475634648,358.1230773925781,235.93896484375,386.65960693359375,197.36758422851562,424.7563171386719,229.773193359375,393.8388366699219,254.81056213378906
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0660.png,179.4173126220703,329.70977783203125,379.41704767477256,224.01260144885038,391.61487459990764,211.56245069208313,404.92552798690264,224.17670430669082,392.9800397853745,236.07632181435523,358.237060546875,235.03541564941406,386.0030517578125,197.50796508789062,424.0887145996094,230.50282287597656,394.25372314453125,253.95201110839844
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0671.png,181.00663910080954,331.2488789237668,379.5639150415526,224.25293968159846,391.3437763950642,212.20560524385607,404.7616698598573,224.84473720562582,392.63268230745143,236.97983191913974,359.6248027184724,236.01219686599498,385.74058707182644,198.48284749895282,424.23718771121503,230.01523897744698,397.34760233998384,255.3572223129239
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0672.png,179.66180419921875,329.48291015625,379.94201067240334,224.25874377494108,390.7562561035156,211.66978454589844,405.02449150880034,224.26963088648512,392.8674673991956,236.83408945813602,357.1297912597656,234.59136962890625,388.81669663118043,197.0430116147047,422.0733337402344,230.0821533203125,390.90606689453125,253.49273681640625
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0744.png,179.58657836914062,330.65179443359375,380.1099476929648,223.89352059941206,392.13926292553475,211.84078758162147,405.4993334861242,223.99880202226694,393.1347740683527,235.97782930507546,356.4329528808594,234.64842224121094,383.8223876953125,198.21847534179688,422.19610595703125,229.9978485107422,390.7208557128906,253.27630615234375
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0776.png,184.15147632636427,332.0350882301555,380.5907460003709,223.73383334906936,392.8849914103841,212.57234153085298,405.8286277029065,224.5268956882675,393.53616618335263,236.89606916316345,359.90731563861766,234.25919415768462,389.10342327467504,198.82460198400815,423.49407087985446,230.72100045020196,397.587762245837,254.47188405957047
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0780.png,185.0685577392578,322.02923583984375,380.7370368267599,223.9836660395262,391.9182692816883,212.52115434281188,404.8224549288658,223.58165221313385,392.5436594917421,235.82651987734943,358.84747314453125,235.84548950195312,386.11785888671875,198.06475830078125,424.6750183105469,230.69850158691406,394.5121765136719,253.5745391845703
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0875.png,180.50331115722656,327.5550231933594,381.1142631946701,223.30453472610864,392.64559862123144,211.48291034225073,405.982023286477,223.8839777363888,393.8075241467596,236.09338304505945,356.2602844238281,234.4471435546875,384.8921203613281,198.02371215820312,422.6474609375,230.2335205078125,391.4674072265625,253.33901977539062
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img0995.png,180.2455596923828,328.9283447265625,381.41746719142435,224.00069586914887,392.066761597671,211.9825624875702,405.23881935883725,224.5351629787003,393.3305570067518,235.1732382405148,358.2502746582031,234.90621948242188,386.38458251953125,197.89361572265625,424.6422119140625,231.07984924316406,394.219482421875,254.4217987060547
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1052.png,182.2889610389609,329.6298701298701,380.7323259012711,224.35735962908078,391.8833940830692,212.47798641954486,405.59407196733423,224.31806107844167,393.9776202032694,236.53438011294253,357.32866309976686,233.4202476215463,389.4401302761691,199.21455432494395,424.57659073730485,229.92987075454607,393.86127430770273,254.24616292798112
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1100.png,182.93831168831156,326.3831168831168,382.00305795197875,224.6563674851584,392.8188424129981,213.05877888345415,405.8442172162219,224.73870238558396,393.7708201159268,236.40496996009517,360.9041481606416,236.08121099679542,391.8443479320102,198.31954985851092,423.75904218436676,229.62518506025,393.54971327373914,254.84022975581416
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1103.png,179.58590698242188,330.7905578613281,381.4629971211657,223.22158813476562,392.9896277113137,212.294146646844,405.3299823723981,223.93091048634125,393.0744941259931,234.9374542236328,356.5625305175781,234.62127685546875,384.0558166503906,198.16171264648438,422.589599609375,229.8197784423828,391.26300048828125,253.86038208007812
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1211.png,178.92379760742188,328.99462890625,381.12462754565126,223.7368985938675,392.69268174487,211.68188788733065,406.9882437895326,224.46684691456085,393.94188326333585,236.9649429043054,356.9970397949219,234.2405242919922,383.9854736328125,198.25428771972656,422.6420593261719,229.4796905517578,391.7815246582031,252.917724609375
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1212.png,182.2889610389609,330.9285714285714,382.2273967813132,223.5917245104015,393.2246826646176,212.3578478086434,406.31335361752974,224.38076397375698,394.78861465849286,236.13401858408267,358.2818717477807,236.76491882336035,390.0099440602686,196.65057189083157,425.65161119544223,230.61498410199704,396.0201075379646,255.35449423111757
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1223.png,182.55859375,325.59051513671875,381.10146623441,224.27926548603713,393.1149606616513,212.3548790102117,406.0634770942893,225.1867960964352,394.3489327658989,236.6614868945224,358.42803955078125,234.96505737304688,386.612060546875,197.87313842773438,425.0307922363281,230.83982849121094,394.93414306640625,254.2304229736328
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1391.png,179.2692108154297,330.5793762207031,382.41323376603486,223.22357821689934,393.89661491480695,211.14505004882812,407.41968585413036,224.14277733294355,394.8167938095431,236.29505682442368,357.102783203125,235.029052734375,385.2432556152344,198.03927612304688,422.4842224121094,228.4038543701172,392.3880920410156,253.32383728027344
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1415.png,179.96661376953125,329.1248474121094,382.6526138813483,224.0090591938483,393.6323547363281,211.6014199727538,407.79211040224743,224.58563232421875,394.74792027783263,236.6286523843755,356.591796875,234.86285400390625,385.47918701171875,198.04656982421875,422.6971130371094,228.73098754882812,392.6504211425781,253.24725341796875
labeled-data,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0,2._Volumes_data_RawData_Eos_2022-10-20_2_Video0_img1475.png,180.87481689453125,329.0404052734375,383.4386485722013,225.1206826887485,394.46409891006516,212.22907386378373,407.5672693269448,224.22350737586208,395.5769881201674,236.24253778902698,358.42303466796875,235.6708984375,387.1823425292969,197.97886657714844,424.63037109375,229.4701385498047,395.3408203125,254.27191162109375
